0,itd,cocktail_wav48_itd/2_distractors/p279/p279_263.wav,1360836,their findings are published in the journal injury prevention,"the finest in the journal, injury prevention",8.821487426757812e-06
1,itd,cocktail_wav48_itd/4_distractors/p279/p279_125.wav,1032816,i felt very strongly that england should have it,english inhabit,7.867813110351562e-06
2,itd,cocktail_wav48_itd/5_distractors/p279/p279_058.wav,1163520,he has already suffered a good deal of unwanted attention,his friends say hes searching for the pot of gold at the end of the rainbow,6.9141387939453125e-06
3,itd,cocktail_wav48_itd/6_distractors/p283/p283_074.wav,2392256,until recently she worked as a recruitment consultant in london,red and green light when mixed with yellow,6.67572021484375e-06
4,itd,cocktail_wav48_itd/0_distractors/p277/p277_050.wav,623432,this represents a tough game for us,this represents a tough game for us,6.9141387939453125e-06
5,ild,cocktail_wav48_ild/5_distractors/p302/p302_068.wav,910036,you thought it was a headache,you thought it was a headache,6.9141387939453125e-06
6,ild,cocktail_wav48_ild/6_distractors/p286/p286_133.wav,1032596,structural changes were also required,stretch your chains were also required,6.198883056640625e-06
7,hrtf,cocktail_wav48_hrtf/2_distractors/p274/p274_098.wav,696784,i did not concentrate on my performance,concentrates on my performance,5.7220458984375e-06
8,hrtf,cocktail_wav48_hrtf/0_distractors/p229/p229_219.wav,508720,saddam hussein is a devil,salami saying is a devil,7.867813110351562e-06
9,hrtf,cocktail_wav48_hrtf/1_distractors/p229/p229_349.wav,672184,the visual arts committee took this decision in december,the visual arts commite took this decision in december,6.9141387939453125e-06
10,ild,cocktail_wav48_ild/6_distractors/p286/p286_154.wav,598216,anyone can do the sums,had it to my wits,5.9604644775390625e-06
11,ild,cocktail_wav48_ild/2_distractors/p304/p304_341.wav,770184,there were many positives for this club,there are many positives for this help,6.9141387939453125e-06
12,hrtf,cocktail_wav48_hrtf/5_distractors/p237/p237_072.wav,958884,the end result is precisely the same,he said it was the worst possible result,5.9604644775390625e-06
13,itd,cocktail_wav48_itd/5_distractors/p286/p286_115.wav,877564,we should recognise that others have done a good job,we should recgonize that the cops have done a good job,7.152557373046875e-06
14,hrtf,cocktail_wav48_hrtf/3_distractors/p274/p274_080.wav,844396,the ethos of the school was outstanding,the aligator was under,5.7220458984375e-06
15,hrtf,cocktail_wav48_hrtf/0_distractors/p229/p229_071.wav,402300,neither it is,neither it is,5.9604644775390625e-06
16,ild,cocktail_wav48_ild/5_distractors/p304/p304_320.wav,868996,he was rejected because he had retired,the ejected custody of the north,7.3909759521484375e-06
17,hrtf,cocktail_wav48_hrtf/4_distractors/p225/p225_355.wav,1197020,her husband was very concerned that it might be fatal,the hospital was very concerned becasue it might be fatal ,6.198883056640625e-06
18,itd,cocktail_wav48_itd/4_distractors/p279/p279_305.wav,1122896,in performance that quality can prove to be a challenge,its a broad face on the departure,6.9141387939453125e-06
19,hrtf,cocktail_wav48_hrtf/3_distractors/p229/p229_280.wav,1262144,i am an estate agent,I have it stated,7.867813110351562e-06
20,itd,cocktail_wav48_itd/3_distractors/p277/p277_375.wav,1024596,something is wrong,something is wrong,8.106231689453125e-06
21,hrtf,cocktail_wav48_hrtf/1_distractors/p229/p229_200.wav,631060,i_ve got good news and bad news for you,Ive got good news and bad news for you,5.9604644775390625e-06
22,ild,cocktail_wav48_ild/0_distractors/p286/p286_362.wav,590476,my view has now completely changed,life you knew now has completely changed,6.198883056640625e-06
23,itd,cocktail_wav48_itd/4_distractors/p277/p277_256.wav,893992,this is a question of islam,he lives in ,6.9141387939453125e-06
24,ild,cocktail_wav48_ild/5_distractors/p306/p306_114.wav,705276,i didn_t realise it had reached that stage,he must approve that next year,7.152557373046875e-06
